YEAR,MAKE,MODEL,TRIM,BODY,TRANSMISSION,VIN,STATE,CONDITION,COLOR,INTERIOR,SELLER,MMR,SELLINGPRICE,SALEDATE,SALE_DATE,PROFIT,ODOMETER
2007,Ford,Escape,XLT,suv,automatic,1fmyu03177ka16444,nc,36,red,beige,crossroads ford inc,4200,5300,2015-06-08T02:00:00-07:00,00:00.0,1100,142187
2007,Ford,F-150,FX2,supercrew,,1ftpw12527kc99551,nc,42,black,black,crossroads ford inc,10500,13600,2015-06-08T02:00:00-07:00,00:00.0,3100,114483
2007,Ford,Mustang,Deluxe,coupe,automatic,1zvft80n975218783,ca,19,blue,black,san diego sports cars,6125,6400,2015-06-03T05:15:00-07:00,15:00.0,275,112283
2007,Ford,Focus,ZX4 SE,sedan,automatic,1fahp34nx7w201164,nc,26,red,gray,crossroads ford of indian trail,2725,3700,2015-06-08T02:00:00-07:00,00:00.0,975,112623
2007,Ford,Fusion,SE,sedan,automatic,3fahp07z67r260826,pa,36,gray,black,car sense,4775,5700,2015-06-03T05:00:00-07:00,00:00.0,925,70250
2007,Ford,Mustang,Deluxe,convertible,automatic,1zvft84n075344623,pa,39,white,gray,battlefield kia,9650,10800,2015-06-05T02:00:00-07:00,00:00.0,1150,59346
2007,Ford,Freestyle,Limited,wagon,,1fmdk06107ga27918,co,37,burgundy,beige,wells fargo financial acceptance,3125,5200,2015-06-10T05:00:00-07:00,00:00.0,2075,119175
2007,Ford,F-150,XL,regular cab,automatic,1ftrf122x7na67101,tx,25,burgundy,gray,supreme fcu,5750,6000,2015-06-03T03:20:00-07:00,20:00.0,250,86355
2007,Ford,Mustang,Deluxe,coupe,,1zvft80n475277837,ca,33,red,gray,orange coast chrysler jeep dodge,5225,5800,2015-06-03T05:30:00-07:00,30:00.0,575,136422
2007,Ford,Explorer,XLT,suv,automatic,1fmeu63e47ub73457,ga,36,red,beige,ford motor credit company llc,6925,8800,2015-06-09T02:30:00-07:00,30:00.0,1875,76989
2007,Ford,F-150,XLT,supercrew,automatic,1ftpw12v77fb04987,ms,29,white,gray,don's wholesale llc,8900,9100,2015-06-11T03:15:00-07:00,15:00.0,200,124566
2007,GMC,Yukon,SLE,suv,automatic,1gkfc13j27r234372,tx,44,red,tan,d&m leasing,13550,14700,2015-06-03T03:15:00-07:00,15:00.0,1150,121074
2007,Honda,Civic,EX,sedan,automatic,1hgfa16807l012752,ca,27,gray,gray,surf city nissan,6200,6500,2015-06-03T05:30:00-07:00,30:00.0,300,114455
2007,Honda,Accord,EX-L V-6,sedan,automatic,1hgcm665x7a017868,fl,38,black,beige,j c auto world inc,6900,7950,2015-06-02T02:15:00-07:00,15:00.0,1050,108329
2007,Honda,Accord,EX-L V-6,sedan,automatic,1hgcm66597a058749,nc,21,red,gray,crossroads ford inc,5575,5600,2015-06-08T02:00:00-07:00,00:00.0,25,144531
2007,Honda,CR-V,LX,suv,automatic,jhlre38337c021543,ca,38,silver,black,buyers auto sales,9800,11200,2015-06-03T05:30:00-07:00,30:00.0,1400,51301
2007,GMC,Sierra 1500 Classic,SLE1,extended cab,automatic,1gtek19z17z103568,ms,32,white,black,keesler federal credit union,10500,12600,2015-06-04T03:30:00-07:00,30:00.0,2100,111559
2007,GMC,Yukon XL,SLE 1500,suv,automatic,1gkfk16387j257119,pa,37,gray,black,r hollenshead auto sales inc,14250,16100,2015-06-05T02:00:00-07:00,00:00.0,1850,100157
2007,Jaguar,XK-Series,XKR,convertible,,sajwa44cx79b13189,pa,49,silver,black,adcock brothers inc,29200,31000,2015-06-05T02:00:00-07:00,00:00.0,1800,29872
2007,HUMMER,H2,Base,suv,automatic,5grgn23u67h105145,wa,39,burgundy,black,robert larson's hyundai,25900,27100,2015-06-17T07:20:00-07:00,20:00.0,1200,81461
2007,Honda,CR-V,EX-L,suv,automatic,jhlre387x7c025558,az,32,green,tan,moon valley used cars inc,7550,7900,2015-06-04T04:30:00-07:00,30:00.0,350,149135
2007,Honda,Pilot,EX-L,suv,automatic,5fnyf28567b021833,fl,35,silver,gray,autobuy,8775,11000,2015-06-04T02:10:00-07:00,10:00.0,2225,98521
2007,Infiniti,M35,Base,sedan,automatic,jnkay01e57m310962,ca,35,black,black,mercedes benz of foothill ranch,9050,9400,2015-06-03T05:30:00-07:00,30:00.0,350,121447
2007,Infiniti,G35,Sport,sedan,automatic,jnkbv61ex7m719314,az,35,white,gray,chapman corporate wholesale,9675,10700,2015-06-04T05:00:00-07:00,00:00.0,1025,102523
2007,Honda,Odyssey,EX-L,minivan,automatic,5fnrl38717b110181,ca,29,gray,gray,san diego sports cars,10000,13500,2015-06-03T05:15:00-07:00,15:00.0,3500,65799
